corporation,lastmonth_activity,lastyear_activity,number_of_employees,exited
cbsq,1689,169,250,1
ntow,12,495,9,0
ivyf,4679,449,38,1
ugxa,88,33,423,1
mvcj,2953,46,120,1
myzl,858,1075,23,0
alak,54,451,24,0
ivgi,100,8491,21,1
tzax,100,121,427,1
agkj,21,503,227,1
finl,86,8,104,0
sowj,27,24,570,0
ptaw,15,103,11,0
woza,3275,3837,545,1
xrqk,568,849,4,1
qkms,1467,281,124,1
uuqd,92,343,22,0
ewju,86,483,16,0
qsrh,100,155,23,0
bjaw,80,7653,31,1
fmqk,13,34,394,1
iwxg,1656,7570,7,1
trqo,78496,793,2,1
wilq,22,376,50,1
cypn,40,563,413,0
wbmt,35,1080,3198,0
vury,24,35,23,1
xlzs,709,405,1848,0
huof,98,266,167,1
acou,2062,5,276,1
xsgv,4272,1513,19,1
aegg,45,516,1,0
pble,3821,444,6,1
qbwt,66,458,327,1
bzvl,4102,86,140,0
lxqu,14,9153,69,0
hqtp,1615,1045,193,1
fehe,81,323,600,1
ntvu,55,65,361,1
unyv,73,984,130,1
ltms,545,47,14,0
ecgc,81,117,247,0
irva,56,38,506,0
pcym,99,6,17,1
sjtr,1939,8,72,0
yeuw,43,64,17,0
tzkt,11,75,6,1
wwua,50,73,0,0
bhef,76,503,5,1
rkku,631,9594,7,1
ggvh,64,863,189,1
xron,809,93,184,1
tbwe,16,527,17,1
nmep,1,475,1823,1
fmuk,34,3962,17,0
ncqb,1451,2446,5,1
eloy,323,268,133,1
tvjy,60,49,12,0
qqbw,85,99,6,0
nexh,1508,40,3,1
ebwe,4315,129,7,0
cnjt,25,514,11,0
hxke,476,98,16,1
yzmv,77,280,8,1
ilzc,9,1071,10,0
eeyw,49,10043,9,1
envl,29,95,7,0
hbtz,1411,910,244,0
rcdc,3647,48,174,0
wehi,47,3442,28,1
thbi,4984,18,10,1
hbhn,66,5747,23,0
uxfc,536,492,61,0
tucp,4488,69,21,1
yikj,53,595,314,1
ugur,1358,345,124,1
scfy,19,893,238,0
tsqu,6,23,292,0
ppxg,1927,347,94,1
ccee,271,210,8,1
eavt,2161,3825,2,0
dyke,3531,89,169,1
epoi,39,157,4,0
wanq,59366,458,7,1
cszi,58,330,43,1
xgjd,89,143,24,0
pttq,4081,199,359,1
vykp,70,341,10,1
wyym,54,551,363,0
jmln,44,4214,133,1
hmey,99,486,9,0
kmmm,1493,545,2531,1
rzwi,7,40,18,0
tgof,2,413,11,0
gtyd,4415,556,390,1
dvcp,66,10174,137,0
ovbk,907,186,25,0
yqiy,53,53,10,0
oqbm,2831,339,525,1
xzng,29,821,209,0
zvzg,2047,139,197,1
gqef,3922,120,424,0
ufhh,4436,4008,24,1
eovf,56,880,144,0
ymti,474,78,1513,1
okgp,52,773,220,1
mahv,53,144,14,0
vtgh,33,2203,8,1
ysxl,2754,458,7,0
uifv,86,68,227,0
tprk,48,292,308,0
mmfw,71,137,168,1
vvpw,86,283,24,1
zkku,3,116,56,1
krrj,81418,88,309,0
owbk,2403,371,2501,1
gqzc,7,291,20,1
zuqt,1388,57,10,0
cpap,1152,433,2299,0
wzis,75,34,18,1
metl,4163,323,22,1
otul,2779,147,257,0
neso,35,1,285,1
qbht,9,574,199,0
jwih,10,327,237,0
qmlc,51,44,2,1
lfju,0,2,75,0
rfyj,60,4144,23,0
gfxi,1438,263,1567,1
hinh,74,83,58,0
kyya,1494,949,3234,0
bhbx,1611,530,436,1
crrs,2380,57,7,0
oaxr,2076,903,132,0
sbry,4984,338,183,0
hrnr,2507,302,1318,0
wcla,4467,144,456,0
devb,33,483,26,0
lcus,21,207,90,1
vcdq,12,238,9,1
nvii,3,611,20,0
fcla,1704,24,614,1
tecn,67,220,104,1
lrdl,3774,128,12,1
vrpb,4903,8,197,1
ppid,377,176,7,0
ptby,99,388,13,1
kgha,89,8932,20,0
nupv,643,510,241,0
sfww,25,137,2,0
sfzi,51,65,157,0
ivje,1741,5992,234,1
jofc,2943,107,469,1
pltm,97,349,10,0
hiex,456,569,1743,1
vitm,67,1292,14,1
puug,32,171,1679,1
hytg,56,1,20,0
owji,1019,202,20,0
rnic,92,711,16,0
bios,92,289,18,0
vbel,28,571,71,1
icyc,100,46,194,1
avoy,2728,535,681,1
fkap,48,252,9,0
rhba,33,386,10,0
fsck,30,360,15,0
jcdo,98,31,44,1
fspd,9,364,6,1
xmzr,1710,9823,247,0
zixa,25,338,4,0
fqja,1161,53,443,1
xwtz,389,617,220,1
shms,2835,461,3,0
ykdj,80,51,138,0
fqpo,3762,23,18,1
bhtj,2499,306,10,1
jenw,82,1060,9,0
jjzc,943,178,19,0
aean,86,351,59,0
bjzv,357,669,91,1
fioa,6,990,5,0
plsi,24,7001,510,1
ztue,60,605,15,0
kmao,1590,257,13,0
dfab,9,4759,1520,1
rjno,2974,519,584,1
relo,18,6954,19,1
wohi,32,448,955,1
rytu,54,7351,2,1
hldu,38,125,183,0
bovm,14,450,24,0
ntjd,33,359,157,1
cclp,28,810,75,0
zfpl,82,344,626,1
qbdv,2150,9768,6,1
tfmv,1484,495,194,0
vyvb,75,435,3370,0
viha,27,8175,22,1
ayaa,1333,165,0,1
dwsb,81,597,48,1
xiil,1404,43,344,0
xunu,1631,276,19,1
nkjy,1249,843,203,1
grmu,45,229,566,1
hgqf,2687,626,5,0
dtjo,40,130,506,1
gxvu,3758,59,15,0
zzoz,70,736,23,0
vrbq,529,1028,2701,0
dgyb,632,1027,21,1
itfa,2218,509,200,1
tkoh,1067,0,15,0
usnx,7,90,802,1
ocpl,8,84,3,1
sbcj,90,488,192,1
cqpp,1636,273,14,1
mscf,14,1277,13,0
oizt,35,309,567,1
ftme,563,546,3,1
szpw,2155,215,88,1
gghm,663,54,1,0
osli,32,231,161,0
ciwk,93,12,1,0
uwne,23,67,359,1
kstf,765,101,247,0
kzoo,1466,1072,0,0
rrlz,2905,145,283,1
mhhy,31,347,10,0
nkle,8,90,10,0
yqzw,393,7246,109,1
uecp,1538,3,153,0
xzvq,3557,1245,1890,0
evui,6,296,7,0
csyx,2351,200,90,1
iihe,2567,341,246,1
dpof,2428,9255,574,0
zowl,34,998,4,0
srjp,2936,314,218,1
higx,2296,321,13,0
ezuo,3460,5748,1193,1
jtyq,34,34,11,0
jhij,999,8404,590,0
pvhk,3608,81,533,0
yrph,202,105,5,0
erdq,46,590,25,1
bdaa,12,177,26,0
guco,55,444,171,1
okvh,20,2263,73,1
fuwv,40,536,1,1
vblx,1680,176,1,1
kvnf,26,1896,217,0
htbd,966,492,206,0
wedv,99,300,1847,1
iheq,7,516,46,1
udtl,14,1541,623,1
nxyz,1834,499,19,0
xhhh,83,68,24,0
rdcm,94,2148,9,0
nwrg,48,84,21,1
vdah,3262,48,537,1
prtt,1925,555,9,0
aoom,4198,7015,329,0
pmlw,1303,352,234,1
vziy,96,3408,64,1
zdqk,75,65,497,0
qzux,1301,3,111,0
yqjg,36,56,4,1
obuw,2287,6626,2395,1
fcov,4661,145,1617,1
jssl,44,72,41,0
nwqn,53,1751,179,0
hktg,467,115,206,1
hnzz,81,303,6,1
imun,22,1443,335,0
vksg,6,10261,72,0
gjbr,16,982,67,0
