corporation,lastmonth_activity,lastyear_activity,number_of_employees,exited
ifeh,3897,454,468,0
bzej,13,6939,167,0
uvhw,48,34,24,0
xmkt,3115,47,27,0
lepe,25,109,18,1
bfrg,41,376,14,1
fqjq,18,472,645,1
usnn,37,0,5,1
hrer,316,4798,11,1
zcne,4774,130,512,0
rfub,47,1117,125,1
ckni,43,10,1,0
ikyy,76,196,15,1
dwdj,95,5672,257,0
dxux,3690,8716,0,1
tutq,4262,8214,196,1
cjqj,1875,28,14,1
ccos,1541,199,299,1
nnrw,38,551,9,0
vanv,71,3351,977,0
gkaa,57,7577,29,1
vyys,96,124,61,0
iabo,48,310,82,1
bboo,81,289,18,0
rxfz,1370,407,536,1
hpsy,4086,1635,200,1
jclj,30,469,66,0
noam,67,3529,368,1
ngte,9,378,9,0
jhij,999,8404,590,0
xujb,7,157,17,1
rwzm,2611,462,21,1
bgji,55,119,315,0
ycqa,99,3609,17,0
qsot,2873,830,21,0
fzvt,4091,590,444,1
hleo,1039,6106,29,1
akbh,1247,539,10,0
rcdu,91,111,554,1
qbbp,53,417,19,0
yazd,3775,309,12,1
lvsp,89,368,10,0
yrpg,4558,265,548,0
jior,1372,121,24,1
bkxx,3141,298,8,1
lveg,60,409,690,0
pttl,627,176,14,0
krcs,94,7348,6,1
ykfj,923,62,570,1
bhho,42,6133,280,1
jguw,4455,116,24,1
phqb,76,429,6,0
dnol,98,565,36,1
cdif,36,184,15,1
egjr,1942,3172,171,0
eyky,32,402,143,1
waqt,99,11,525,1
dfza,469,478,167,0
sclp,3329,132,38,1
vnke,4650,8169,366,0
szoq,3436,451,1787,0
rnds,2711,4190,17,0
brvu,1379,496,200,1
fvvt,233,290,23,1
weeq,38,66,211,0
iwtx,1942,535,13,1
nfoh,4,5317,364,0
qpcw,3432,94,5,1
vmzk,87,8489,53,0
ppuh,1777,29,484,1
epwm,3665,144,6,1
dimx,36,234,18,1
zguy,3675,21,429,1
llcx,7,8290,7,0
otrz,1547,284,1,0
ysoc,2824,257,510,1
qoev,1885,245,6,1
cact,685,26,592,1
xlcu,706,326,390,1
evdc,1,292,16,0
mopg,32,642,4,1
xlgc,1149,415,9,1
fuex,638,356,568,1
gytk,63,426,0,0
lzfa,2386,7392,1558,1
uaos,2335,197,114,0
hiuj,99,8682,23,1
hnyr,100,458,22,0
hkry,3652,348,278,1
ihnw,89,261,18,0
snqp,1826,83,409,1
wyyt,3,7181,361,1
gyub,2383,5922,8,1
mvnz,80,149,72,1
kaes,960,8338,20,0
fciw,59,26,11,0
euyk,2753,494,583,1
jyrd,78,101,10,1
mrgp,11,321,9,1
dtuz,77,563,5,0
lsho,3261,66,1858,1
nhos,2294,137,23,0
ncgr,4282,7096,366,0
dkcs,4069,214,3,1
oqmo,1609,148,425,0
ayjd,71,7994,16,0
hnds,586,135,25,0
gfnf,3064,58,16,1
gpfn,20,3093,17,1
ejzi,24,328,7,0
rzyb,4679,14,18,1
rxud,51,3258,94,1
voup,71,296,19,0
fjel,2055,116,333,0
vwkq,18,530,4,1
wxdk,4510,388,103,0
hghk,33,2005,1064,1
ifxs,28,70,8,1
yrgg,80,6191,342,1
fqyd,2740,4719,21,0
xexh,24,53,328,1
aims,13,474,641,0
rqoh,1943,179,247,0
ndvy,25,307,1706,0
wxua,925,297,387,1
idwn,89,97,19,0
iwxg,1656,7570,7,1
hwko,1262,91,173,0
wrrn,4152,144,7,1
ibbt,30,7074,314,1
kytg,46,3696,191,1
bppa,1802,1,126,1
yqjg,36,56,4,1
nagg,308,177,89,0
rwfp,47,116,436,1
piwa,60,8230,398,0
vdwt,89,247,237,0
fgee,69,585,339,0
ollo,47,480,123,0
qxqi,4428,42,473,1
odkr,3821,7860,9,1
qtnu,53,65,594,0
affl,27,561,18,0
xogi,28,158,9,1
vdrh,79,3741,956,0
hgkg,4265,38,14,1
yjtf,63,362,72,0
mzhz,86,75,283,1
hoip,13,422,515,0
ihnc,57,1329,439,0
cxgt,2040,18,1782,1
gjou,98,430,149,0
xjbo,53,226,18,1
bhii,3368,1716,354,1
nxyz,1834,499,19,0
rfxj,80,6830,880,0
xarz,218,5219,21,0
tscz,1798,344,8,1
utdv,98,148,12,1
kahk,27,5558,24,1
ycoc,461,727,15,0
druj,62,89,438,0
ttnz,4941,53,17,0
iuzs,43,551,250,1
tokg,562,130,131,0
cxwv,389,5157,388,0
fown,53,51,8,0
osuf,4028,29,429,0
sqhr,95,899,22,0
motb,4556,108,22,1
okhz,90,367,508,1
hoxc,681,8716,5,1
xqwi,2469,101,6,1
jpyg,59,4106,11,0
muhz,3844,62,176,1
wnzq,4741,1203,1,0
sath,82,1694,19,1
auuk,2143,18,8,0
ysyl,1644,59,263,0
hgvi,74,198,1832,1
akve,2043,76,259,0
pgkv,91,7673,35,1
mgnv,1887,5896,479,0
zihw,24,28,148,1
gtzl,62,3320,135,0
zfkm,17,6790,1,0
cxqu,1998,86,5,0
gtlb,4650,544,1460,0
lozs,10,1588,584,1
vkyf,24,541,427,0
ctgy,84,388,633,0
atuj,68,1325,205,0
tkki,24,30,140,1
svfx,1135,4333,304,1
oykr,87,28,334,1
mtga,47,536,9,0
ugdi,58,82,814,1
ebwe,4315,129,7,0
qgmy,871,82,21,0
jjdg,57,21,248,1
roie,87,526,60,1
crwd,71,4079,11,0
uykj,1946,552,93,1
oktn,3943,341,209,0
hwpi,8,167,631,1
hgzv,1165,88,13,0
ktup,53,426,8,1
czrr,3081,45,16,1
iiwf,962,561,20,0
fcdi,24,10,4,1
gtqx,57,163,11,1
lqls,40,293,16,0
euiy,1173,485,17,1
mfov,85,45,21,1
byan,2944,496,23,0
xnmb,44,370,435,0
vwat,4256,364,297,0
drmh,4595,82,14,0
vrfn,1740,76,288,0
pppj,1488,285,20,1
bcqk,59,572,21,1
kfud,30,363,218,1
ebxs,700,6421,1062,0
puop,2679,102,8,1
ipmk,81,38,11,0
zfix,66,50,397,0
afaa,4135,6268,609,1
clsa,3876,243,18,1
xnpl,66,201,935,0
hdcx,615,110,23,1
casz,3153,472,22,0
dyse,64,592,6,1
aprm,3232,436,189,0
xdgd,2874,6729,624,0
sbmd,2999,148,23,1
vdxf,3803,368,519,1
keml,65,4883,106,1
cbsq,1689,169,250,1
onaq,3155,19,3,0
dmiv,1482,185,393,0
cfhx,45,8115,216,0
enrd,1560,50,297,1
afqj,2930,167,22,0
icys,15,2462,9,0
kmao,1590,257,13,0
dwsf,80,550,21,0
kzth,3789,5112,915,1
gsay,97,124,18,0
nbqr,4995,282,1434,1
