corporation,lastmonth_activity,lastyear_activity,number_of_employees,exited
vyak,99,310,5,0
sxzp,61,447,559,1
tvsh,2140,1067,130,0
pzap,2127,798,153,1
mrpx,29,128,4,0
uxfc,536,492,61,0
idxr,69,262,260,0
hfiw,83,268,924,1
okpp,32,4271,1235,1
yaxw,2644,5954,159,0
bmip,4,387,1563,1
fkef,50,330,1151,1
gpxt,85,1028,20,1
qsab,4529,3462,109,0
lzau,416,572,12,0
wyyt,3,7181,361,1
yiae,74176,424,83,0
xwbl,2852,177,240,0
huzj,1647,509,1453,0
tutq,4262,8214,196,1
kohf,35,24,1228,1
egwh,12,533,252,1
hmds,93,503,342,1
iiur,3395,200,9,1
egjz,72,514,20,1
gpfw,93,141,224,0
cjxa,1408,90,23,0
qedl,4,410,1887,1
gaxb,2671,77,153,0
iskb,1844,508,38,0
ingn,917,536,71,0
aijw,1805,135,314,0
qoca,2930,310,25,0
hiyy,539,540,12,1
kapu,38,15,20,1
eacc,89,6873,94,0
gtyd,4415,556,390,1
mrwc,4705,397,4,1
mvff,15,8798,294,1
scot,13,4552,25,1
vfev,31,134,45,0
adcn,1382,305,14,0
rlff,7,299,22,1
gmgx,61,64,331,1
oyfc,63,1885,16,1
kiut,91,58,148,1
cjqj,1875,28,14,1
plap,69,421,283,0
xlto,54,932,238,0
ahdx,86,592,85,1
rwoi,58,8,18,0
khhd,4319,5764,21,1
iqpi,84,5,93,0
qgde,19,1087,93,0
pqyh,13,202,21,0
prjl,63,856,1845,0
jhij,999,8404,590,0
dmko,24,533,591,1
foxc,3074,936,417,0
kpow,86,733,42,1
xdzt,1796,5029,449,1
newz,26,4,45,1
gwvj,43,5872,140,1
usnn,37,0,5,1
gtxj,55,921,308,1
rjmc,407,771,222,1
hlqh,69,14,211,0
ojsk,35,6,23,0
tgza,25,476,353,1
hzjs,22,5034,20,1
wytz,748,272,508,1
shmn,69,751,601,1
auqc,3898,280,10,1
mnxt,1377,395,327,1
zzmi,7,42,559,0
ppjh,4022,57,393,1
xzfh,77,359,144,0
iabo,48,310,82,1
ckxv,4421,6492,3,1
mnwq,94,140,647,1
yoce,66,47,227,0
vanv,71,3351,977,0
fdcy,1576,1043,105,1
yuvs,50,100,25,1
cnvc,85,91,135,0
zzoz,70,736,23,0
uepq,70,145,17,1
vpsr,37,41,25,1
bpny,4169,3404,1598,1
mfio,1184,41,20,0
klpp,0,315,2,1
idha,18,399,4,0
ofhk,12,276,24,0
ulpe,56,46,23,0
tych,13,1278,58,0
wqus,1507,9524,39,1
pfgz,1457,450,3956,1
xqpw,1757,11,406,0
yhwn,4,143,19,0
llip,380,696,2046,0
zzpu,25,45,632,1
kcqo,2022,184,127,0
vtjk,713,2552,89,1
efub,85,8764,475,1
pmpa,455,976,62,1
eedz,2617,339,197,0
wzwh,76,222,3777,1
hhvk,62,649,134,0
ydfp,2307,3079,19,1
qzoo,76,6362,156,1
mbfm,2,54,568,0
aeix,2391,39,23,1
sjpp,3103,405,160,0
jitn,2617,8,150,0
mfch,9310,301,164,1
hfex,2516,908,2674,0
cnxu,2583,3702,342,1
xuhp,28,1067,3,0
eszr,191,365,70,1
jchp,101,772,24,1
ahbs,204,10556,71,0
zimk,6,596,74,1
ktrs,69,173,14,0
nmep,1,475,1823,1
yzvu,1813,158,16,1
iagx,40,508,13,0
zkge,55,688,28,1
jhei,59,86,157,0
jsgm,18,59,4,0
udmq,85,3757,41,0
zkfz,15,887,156,1
qmkq,17,8,13,1
cvug,88,234,1647,0
avpq,13,57,104,0
jzxl,1488,285,225,1
ssvv,13,478,16,0
fija,3527,189,1150,1
wnsi,50,6591,414,1
fdut,425,306,144,1
kjor,48,8945,9,1
izcq,4386,881,15,0
oixu,342,489,7,0
lljr,2168,222,10,0
vxrx,90,132,122,0
exjp,63,113,185,1
rspe,98,357,243,0
pwxz,61,40,127,0
ryoe,68635,6235,125,1
bcls,80,284,322,1
bwyg,73,982,78,1
lxho,1742,89,2,1
ytom,1205,1468,2,1
bzfv,32,611,5,0
pwce,4084,592,617,1
hrsq,93,1435,432,0
kese,68,8685,1251,1
vvxl,1130,410,32,1
rubg,53,9264,233,0
gzeh,4146,10,17,0
fcrq,4114,93,9,1
dujj,65,67,25,1
dtpz,69,114,297,1
qxts,125,10437,40,1
vvvy,162,100,98,0
yriv,4817,43,517,0
lmee,78,2894,613,0
zdut,1667,416,6,1
kehd,112,740,25,0
fzcu,62,46,108,1
rkie,2155,27,1989,0
hrnr,2507,302,1318,0
ykdj,80,51,138,0
kuzr,12,52,19,0
ejae,48,57,296,0
ivww,86,212,0,0
joan,2335,603,3944,0
teuh,59,34,142,1
rlxm,4145,31,375,0
fkts,45,484,7,1
fqdg,76,5627,452,1
ztck,2604,6,18,1
bbkb,85,474,10,0
hldu,38,125,183,0
biej,4265,296,531,1
ycnp,2826,3365,544,0
hufk,57,8523,0,0
ggcx,739,429,123,1
jiow,2662,5913,19,0
ijqd,44,373,46,0
xndf,35,121,19,1
qzhw,1607,223,20,1
lhqo,100,121,219,1
jrun,945,439,24,0
zswy,98,959,2263,0
xmpz,68,29,10,1
eeyw,49,10043,9,1
hbgy,58,47,15,1
pupy,57,477,1202,1
xfpg,1169,134,67,0
gufp,1328,740,60,0
aqkb,2511,864,118,0
byin,16,2,13,0
awxp,251,468,230,1
zrzv,39,589,14,0
xobh,135,541,24,0
cntu,5006,555,15,1
qamm,48,123,4,1
olra,100,35,93,1
nsif,23,495,16,1
tbet,34,381,1,1
lmpd,91,565,15,0
ngos,79,21,25,0
uljd,2867,125,20,0
wdox,39,47,20,0
anmg,1328,1074,1,1
nsib,966,410,18,1
answ,52,58,12,0
koas,22,127,162,1
jsci,1188,898,95,1
nykz,94,14,239,1
cxdd,45,95,175,1
iani,4716,232,74,1
rqgw,3990,137,308,0
oaef,20,961,84,1
igiu,16,1546,125,0
slmw,1072,89,1376,1
dugg,2808,5,373,1
ensl,4016,307,0,0
vnjv,2903,629,203,0
uuoe,1540,124,12,1
ptaw,15,103,11,0
mzzn,2786,218,9,0
xmkd,85,231,97,1
orlu,51,351,52,1
kuez,2955,355,25,1
zush,2476,58,52,1
nqyl,93,182,247,0
sbot,46,10,34,1
edqq,4144,119,1473,0
akbl,4630,107,16,0
twpj,7,566,18,1
uhhn,499,620,37,1
jipn,27,3736,150,0
ugwg,202,465,4,1
hrvw,4409,91,22,0
zgma,31,845,190,1
hdgc,4641,238,15,0
tldw,3726,233,1165,1
rqoc,1636,76,821,0
bqhg,33,52,56,1
ofma,69,58,4,1
eoqv,44,85,24,0
bkds,6434,212,23,1
ekls,44130,328,143,0
ihnv,75,120,323,1
hztv,100,258,215,1
zghl,4,70,119,0
nvii,3,611,20,0
tecn,67,220,104,1
gnhi,3773,71,650,1
uktr,4,387,19,1
huyn,3107,140,13,1
oqlp,34,9389,194,1
ggho,55,2452,3,1
jhva,12,546,174,0
plht,47,472,951,0
vpwf,3590,228,1952,0
rihw,3206,21,20,0
lzcb,70,910,14,0
ddqz,47,179,16,0
mkhe,17,53,400,0
wsts,68,420,70,0
kkmq,9409,64,388,1
watq,54,8405,337,0
imeb,1416,110,392,1
ctyg,88,67,137,1
mkai,44,80,12,0
xkzi,17,5557,20,0
wrno,44,574,13,1
hpne,2688,131,78,1
sfox,2691,73,499,1
wora,78419,80,180,1
ufpq,2367,422,24,0
tvcs,10901,79,1287,1
cyno,49,36,0,1
gkmu,93,968,11,0
iwgh,41,4079,209,0
chun,3726,559,89,0
yuys,2381,115,133,0
szmx,4491,263,58,0
oxxy,12,478,43,1
lecg,16,126,308,0
klhg,85,918,249,0
qlza,75,2861,9,1
pvzj,14,51,308,1
topz,315,100,490,0
gxyh,69,650,103,1
pgfg,25,511,16,0
eeks,35,360,86,1
fcdq,3920,40,319,1
qtnu,53,65,594,0
shuc,8606,132,19,0
mnlu,90,563,71,0
sjiv,29978,8132,3149,0
szcc,91,863,8,1
xkuc,30,98,16,0
jmef,621,10458,3,0
geff,586,907,222,1
ysyl,1644,59,263,0
inwt,99,152,16,0
kqun,2719,421,181,1
rguz,6,282,199,0
eunw,75,29,45,1
bysz,8,167,186,1
keei,86,23,2,0
kzgd,1203,5405,212,1
fqpo,3762,23,18,1
dzux,41,88,634,0
pwpx,27094,5419,233,0
hxrr,3633,3711,214,0
jlze,1194,404,13,1
tzcm,25,970,44,0
pble,3821,444,6,1
wpkc,2940,338,185,1
qxqi,4428,42,473,1
ifwp,3,3024,11,0
qxen,36,23,188,0
emjw,775,78,19,1
gagy,53,254,214,1
aean,2188,7559,82,1
sojp,8334,26,16,0
pqpb,1874,318,464,0
rnds,2711,4190,17,0
xoav,78,90,6,1
xcxw,1326,645,233,1
ynaq,4268,436,13,0
rpgr,72,123,1351,1
slgt,148,1111,17,0
zrpt,1339,1116,5,1
bfrg,41,376,14,1
eifl,8,38,10,0
wgyz,64,174,3179,1
caov,482,2978,504,0
sict,67,3605,2962,1
fnqw,3198,184,9,1
mkxb,8797,179,8,0
hdqm,3429,44,12,0
kwcl,23,59,1545,1
lkvr,4695,13,79,0
sukt,1124,205,211,0
jhqt,78,861,72,0
xxct,3980,114,77,1
fnhw,16,53,18,0
yxce,54,306,304,1
opev,39,85,108,0
uuag,9097,147,20,1
zcpm,4555,21,137,1
ahbd,2,340,10,1
lhbu,80,316,476,0
lpes,2802,399,20,0
irfe,5331,15,9,0
yeeu,2283,325,24,0
fmhq,2594,996,13,1
sfds,2549,220,248,1
wbqd,84,222,462,0
zyqq,2598,20,20,0
ztuc,1082,117,22,0
nqhq,1399,0,14,1
pdgs,48,244,189,1
srpu,30,567,55,1
lrkj,3839,50,8,1
wilq,22,376,50,1
pvcb,41,97,20,1
yzri,1299,450,21,1
otbt,27699,1077,7,1
fotn,2801,443,11,0
htwh,26,7864,16,0
fxsf,1535,119,17,0
icga,71,517,229,1
ekkk,86,938,40,0
bzit,82,507,449,0
joim,819,129,59,1
xakg,62,280,22,0
nafj,59,7156,437,1
